"station_id","name","latitude","longitude","func_capacity","is_renting","is_returning"
3212,"Christ Hospital",40.734785818,-74.050443636,22,TRUE,TRUE
3194,"McGinley Square",40.7253399253558,-74.06762212514877,22,TRUE,TRUE
3456,"Jackson St & Leonard St",40.71638031973561,-73.94821286201477,22,TRUE,TRUE
3828,"Eldert St & Bushwick Ave",40.68652,-73.91321,22,TRUE,TRUE
3830,"Halsey St & Evergreen Ave",40.68858,-73.91227,22,TRUE,TRUE
3496,"1 Ave & E 110 St",40.7923272,-73.9383,25,TRUE,TRUE
3835,"Knickerbocker Ave & Hancock St",40.69385,-73.90974,22,TRUE,TRUE
3211,"Newark Ave",40.72152515,-74.046304543,22,TRUE,TRUE
3787,"Dock 72 Way & Market St",40.69985,-73.97141,22,TRUE,TRUE
3302,"Columbus Ave & W 103 St",40.7969347,-73.9643412291,22,TRUE,TRUE
3780,"Wyckoff Av & Stanhope St",40.703545,-73.917775,22,TRUE,TRUE
3855,"Frost St & Debevoise Ave",40.71882,-73.93948,22,TRUE,TRUE
3896,"Madison St & Seneca Ave",40.70183,-73.90625,22,TRUE,TRUE
408,"Market St & Cherry St",40.71076228,-73.99400398,23,TRUE,TRUE
3256,"Pier 40 - Hudson River Park",40.7277140777778,-74.01129573583603,23,TRUE,TRUE
3337,"Dwight St & Van Dyke St",40.67363551341504,-74.01195555925369,23,TRUE,TRUE
3342,"Pioneer St & Richards St",40.6777748,-74.0094613,23,TRUE,TRUE
302,"Avenue D & E 3 St",40.72082834,-73.97793172,23,TRUE,TRUE
356,"Bialystoker Pl & Delancey St",40.71622644,-73.98261206,23,TRUE,TRUE
3407,"Union St & Nevins St",40.67909799721684,-73.98765474557877,23,TRUE,TRUE
3551,"3 Ave & E 112 St",40.795508,-73.941606,23,TRUE,TRUE
3609,"Vernon Blvd & 31 Ave",40.7692475,-73.9354504,23,TRUE,TRUE
3647,"48 Ave & 30 Pl",40.74128309355993,-73.93725872039794,23,TRUE,TRUE
3315,"Henry St & Degraw St",40.6847514,-73.99917254,23,TRUE,TRUE
